occupation,classification,,,,,
教师,"肺调养食谱,咳喘食谱,益智补脑食谱,清热去火食谱,健忘食谱,咽炎食谱",,,,,
记者,"健忘食谱,益智补脑食谱,咽炎食谱,失眠食谱",,,,,
演员,"减肥菜谱,美容菜谱,延缓衰老食谱,气血双补食谱,乌发食谱,丰胸食谱,补虚养身食谱",,,,,
厨师,"高温环境作业人群食谱,肺调养食谱",,,,,
医生,"益智补脑食谱,健忘食谱,防癌抗癌食谱",,,,,
护士,"接触电离辐射人员食谱,益智补脑食谱,防癌抗癌食谱,滋阴食谱,补虚养身食谱",,,,,
司机,"痔疮食谱,明目食谱,关节炎食谱",,,,,
军人,"跌打骨折食谱,运动员食谱,健脾开胃食谱,防暑食谱",,,,,
律师,"益智补脑食谱,健忘食谱,失眠食谱,健脾开胃食谱",,,,,
翻译,"肾调养食谱,补虚养身食谱,气血双补食谱,益智补脑食谱,失眠食谱,头痛食谱",,,,,
法官,"益智补脑食谱,高血压食谱,神经衰弱食谱,心悸食谱,乌发食谱,头痛食谱",,,,,
保安,"冻疮食谱,营养不良食谱,壮腰健肾食谱,防暑食谱,气血双补食谱",,,,,
花匠,"接触化学毒素人员食谱,清热解毒食谱,气血双补食谱,防暑食谱,骨质增生食谱",,,,,
清洁工,"脾调养食谱,肝调养食谱,补虚养身食谱,气血双补食谱,理气调理食谱",,,,,
理发师,"营养不良食谱,肝调养食谱,肾调养食谱,乌发食谱,健脾开胃",,,,,
消防员,"神经衰弱食谱,高血压食谱,明目食谱,活血化瘀食谱,气血双补食谱",,,,,
推销员,"脾调养食谱,高血压食谱,气血双补食谱,肝调养食谱,头痛食谱",,,,,
运动员,"不孕不育食谱,健脾开胃食谱,增肥食谱,关节炎食谱,运动员食谱,跌打骨折食谱",,,,,
机长,"低温环境作业人群食谱,神经衰弱食谱,明目食谱,失眠食谱,心调养食谱",,,,,
空姐,"滋阴食谱,美容菜谱,咳喘食谱,气血双补食谱,理气调理食谱",,,,,
画师,"明目食谱,补虚养身食谱,活血化瘀食谱,益智补脑食谱,日本料理",,,,,
动漫设计,"日本料理,健脾开胃食谱,神经衰弱食谱,明目食谱,益智补脑食谱",,,,,
白领,"益智补脑食谱,健忘食谱,失眠食谱,心调养食谱,头痛食谱,解酒食谱",,,,,
前台,"家常菜谱,壮腰健肾食谱,美容菜谱,咳喘食谱,心调养食谱",,,,,
学生,"青少年食谱,健脾开胃食谱,明目食谱,健忘食谱",,,,,
商人,"肾调养食谱,肝调养食谱,肝硬化食谱,解酒食谱,美味粥汤",,,,,
会计,"明目食谱,益智补脑食谱,精品主食,美味粥汤,关节炎食谱",,,,,
程序员,"神经衰弱食谱,益智补脑食谱,健忘食谱,乌发食谱,失眠食谱",,,,,
服务员,"健忘食谱,耳鸣食谱,明目食谱,理气调理食谱,咽炎食谱,",,,,,
作家,"明目食谱,骨质增生食谱,神经衰弱食谱,益智补脑食谱,健忘食谱",,,,,
模特,"美容菜谱,减肥菜谱,延缓衰老食谱,丰胸食谱,乌发食谱",,,,,
导游,"益智补脑食谱,健忘食谱,咽炎食谱,高血压食谱,补气食谱",,,,,
歌手,"咽炎食谱,健忘食谱,补气食谱,减肥菜谱,清热去火食谱,理气调理食谱",,,,,
裁缝,"壮腰健肾食谱,明目食谱,脚气食谱,关节炎食谱,健脾开胃食谱",,,,,
快递员,"皮肤病食谱,壮腰健肾食谱,防暑食谱,关节炎食谱,跌打骨折食谱",,,,,
外卖员,"皮肤病食谱,防暑食谱,胃调养食谱,跌打骨折食谱,壮腰健肾食谱",,,,,
主持人,"咽炎食谱,关节炎食谱,壮腰健肾食谱,明目食谱,防癌抗癌食谱",,,,,
漫画家,"壮腰健肾食谱,皮肤病食谱,明目食谱,减肥菜谱,前列腺疾病食谱",,,,,
面点师,"关节炎食谱,肺调养食谱,壮腰健肾食谱,支气管炎食谱,皮肤病食谱",,,,,
美甲师,"关节炎食谱,明目食谱,皮肤病食谱,防癌抗癌食谱,肺调养食谱",,,,,
保姆,"关节炎食谱,壮腰健肾食谱,明目食谱,感冒食谱,气血双补食谱",,,,,
电力工程师,"接触电离辐射人员食谱,防癌抗癌食谱,明目食谱,关节炎食谱,壮腰健肾食谱",,,,,
化验员,"明目食谱,防癌抗癌食谱,感冒食谱,皮肤病食谱,肺调养食谱",,,,,
